date,y,wday,is_holiday,res_wday
2010-02-01,1091041,2,0,170234.942307692
2010-02-10,939412,4,0,-47735.5192307693
2010-02-11,921768,5,0,-45741.9615384615
2010-02-12,886702,6,0,-63262.7547169811
2010-02-13,641619,7,0,25494.5384615385
2010-02-14,486887,1,1,45938.4807692308
2010-02-15,722405,2,0,-198401.057692308
2010-02-16,1028597,3,1,44290.2115384615
2010-02-17,1028817,4,0,41669.4807692308
2010-02-18,1026992,5,0,59482.0384615385
2010-02-19,1030451,6,0,80486.2452830189
2010-02-02,1062988,3,0,78681.2115384615
2010-02-20,625306,7,0,9181.5384615385
2010-02-21,418101,1,0,-22847.5192307693
2010-02-22,953759,2,0,32952.9423076923
2010-02-23,1015116,3,0,30809.2115384615
2010-02-24,996077,4,0,8929.48076923075
2010-02-25,1000799,5,0,33289.0384615385
2010-02-26,999789,6,0,49824.2452830189
2010-02-27,603577,7,0,-12547.4615384615
2010-02-28,418652,1,0,-22296.5192307693
2010-02-03,1114266,4,0,127118.480769231
2010-02-04,1090369,5,0,122859.038461539
2010-02-05,1047904,6,0,97939.2452830189
2010-02-06,616747,7,0,622.538461538497
2010-02-07,417214,1,0,-23734.5192307693
2010-02-08,1006311,2,0,85504.9423076923
2010-02-09,913022,3,0,-71284.7884615385
2010-03-01,893861,2,0,-26945.0576923077
2010-03-10,1030470,4,0,43322.4807692308
2010-03-11,994390,5,0,26880.0384615385
2010-03-12,1013971,6,0,64006.2452830189
2010-03-13,593823,7,0,-22301.4615384615
2010-03-14,428683,1,0,-12265.5192307692
2010-03-15,996747,2,0,75940.9423076923
2010-03-16,1036185,3,0,51878.2115384615
2010-03-17,1043518,4,0,56370.4807692308
2010-03-18,1036643,5,0,69133.0384615385
2010-03-19,1022766,6,0,72801.2452830189
2010-03-02,1032445,3,0,48138.2115384615
2010-03-20,505581,7,0,-110543.461538462
2010-03-21,405115,1,0,-35833.5192307693
2010-03-22,981316,2,0,60509.9423076923
2010-03-23,1012454,3,0,28147.2115384615
2010-03-24,987466,4,0,318.480769230751
2010-03-25,949845,5,0,-17664.9615384615
2010-03-26,971169,6,0,21204.2452830189
2010-03-27,608093,7,0,-8031.4615384615
2010-03-28,413535,1,0,-27413.5192307693
2010-03-29,852199,2,0,-68607.0576923078
2010-03-03,1062280,4,0,75132.4807692308
2010-03-30,884276,3,0,-100030.788461539
2010-03-31,901476,4,0,-85671.5192307693
2010-03-04,1051738,5,0,84228.0384615385
2010-03-05,1036156,6,0,86191.2452830189
2010-03-06,662470,7,0,46345.5384615385
2010-03-07,418097,1,0,-22851.5192307693
2010-03-08,1013812,2,0,93005.9423076923
2010-03-09,1025242,3,0,40935.2115384615
2010-04-01,949879,5,0,-17630.9615384615
2010-04-10,663179,7,0,47054.5384615385
2010-04-11,440552,1,1,-396.519230769249
2010-04-12,1008809,2,0,88002.9423076923
2010-04-13,1031798,3,0,47491.2115384615
2010-04-14,1043690,4,0,56542.4807692308
2010-04-15,1040113,5,0,72603.0384615385
2010-04-16,1005953,6,0,55988.2452830189
2010-04-17,643599,7,0,27474.5384615385
2010-04-18,443588,1,0,2639.48076923075
2010-04-19,1006105,2,0,85298.9423076923
2010-04-02,881173,6,0,-68791.7547169811
2010-04-20,1023621,3,0,39314.2115384615
2010-04-21,1010968,4,0,23820.4807692308
2010-04-22,976688,5,0,9178.0384615385
2010-04-23,996166,6,0,46201.2452830189
2010-04-24,588835,7,0,-27289.4615384615
2010-04-25,387151,1,0,-53797.5192307693
2010-04-26,1014665,2,0,93858.9423076923
2010-04-27,1022698,3,0,38391.2115384615
2010-04-28,981925,4,0,-5222.51923076925
2010-04-29,971157,5,0,3647.0384615385
2010-04-03,583966,7,0,-32158.4615384615
2010-04-30,1032120,6,0,82155.2452830189
2010-04-04,400341,1,0,-40607.5192307693
2010-04-05,975213,2,0,54406.9423076923
2010-04-06,984899,3,0,592.211538461503
2010-04-07,940753,4,0,-46394.5192307693
2010-04-08,988825,5,0,21315.0384615385
2010-04-09,948808,6,0,-1156.75471698109
2010-05-01,668743,7,0,52618.5384615385
2010-05-10,982426,2,0,61619.9423076923
2010-05-11,948970,3,0,-35336.7884615385
2010-05-12,987926,4,0,778.480769230751
2010-05-13,955701,5,0,-11808.9615384615
2010-05-14,1022640,6,0,72675.2452830189
2010-05-15,632980,7,0,16855.5384615385
2010-05-16,446820,1,0,5871.48076923075
2010-05-17,951092,2,0,30285.9423076923
2010-05-18,976377,3,0,-7929.7884615385
2010-05-19,1009046,4,0,21898.4807692308
2010-05-02,458651,1,0,17702.4807692308
2010-05-20,982640,5,0,15130.0384615385
2010-05-21,949316,6,0,-648.754716981086
2010-05-22,646961,7,0,30836.5384615385
2010-05-23,490423,1,0,49474.4807692308
2010-05-24,974382,2,0,53575.9423076923
2010-05-25,1005290,3,0,20983.2115384615
2010-05-26,1004824,4,0,17676.4807692308
2010-05-27,995700,5,0,28190.0384615385
2010-05-28,994671,6,0,44706.2452830189
2010-05-29,645684,7,0,29559.5384615385
2010-05-03,1051064,2,0,130257.942307692
2010-05-30,480340,1,0,39391.4807692308
2010-05-31,347857,2,1,-572949.057692308
